epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7850446701049805,0.0010000000474974513,0.7023597359657288,0.8678571581840515,0.43862420320510864
1,0.8522321581840515,0.0010000000474974513,0.47155749797821045,0.8794642686843872,0.34915584325790405
2,0.8736607432365417,0.0010000000474974513,0.3800753355026245,0.9125000238418579,0.28017160296440125
3,0.9002231955528259,0.0010000000474974513,0.3249383866786957,0.9080356955528259,0.2979722023010254
4,0.8986607193946838,0.0010000000474974513,0.308586061000824,0.9178571701049805,0.2875678539276123
5,0.9185267686843872,0.00020000000949949026,0.27025511860847473,0.9267857074737549,0.26785966753959656
6,0.9247767925262451,0.00020000000949949026,0.24252624809741974,0.9276785850524902,0.2569819390773773
7,0.9279018044471741,0.00020000000949949026,0.24263553321361542,0.9267857074737549,0.256803035736084
8,0.9308035969734192,0.00020000000949949026,0.22536936402320862,0.9312499761581421,0.2575874626636505
9,0.9325892925262451,0.00020000000949949026,0.22767895460128784,0.9303571581840515,0.2443632334470749
10,0.9267857074737549,0.00020000000949949026,0.2364804744720459,0.9348214268684387,0.226023331284523
11,0.9381696581840515,0.00020000000949949026,0.21941596269607544,0.9276785850524902,0.24618996679782867
12,0.9352678656578064,0.00020000000949949026,0.2197902500629425,0.9330357313156128,0.23579636216163635
13,0.9392856955528259,4.0000002627493814e-05,0.2173912227153778,0.9366071224212646,0.23420409858226776
14,0.9433035850524902,4.0000002627493814e-05,0.20641854405403137,0.9330357313156128,0.23603828251361847
15,0.940625011920929,8.000000889296643e-06,0.2035672664642334,0.9330357313156128,0.23615354299545288
